2020-04-26 14:04:46 INFO  LoginPage :52 -  Clicking on Login Button[[ChromeDriver: chrome on WINDOWS (80795579b7f6d5efe014b0f40cd54c29)] -> xpath: //input[@id='submitBtnSignIn']]
2020-04-26 14:04:81 INFO  LoginPage :57 - Get Error message text [[ChromeDriver: chrome on WINDOWS (80795579b7f6d5efe014b0f40cd54c29)] -> xpath: //span[@id='password.errors']]
2020-04-26 14:04:738 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-26 14:04:503 INFO  HomePage :31 - clicking on service button: [[ChromeDriver: chrome on WINDOWS (55564bee7e8a530ede4bf3e47f9f8cab)] -> xpath: //span[@class='button__text'][contains(text(),'Services')]]
2020-04-26 14:04:529 INFO  ServicePage :24 - Get Adult Social Care Text[[ChromeDriver: chrome on WINDOWS (55564bee7e8a530ede4bf3e47f9f8cab)] -> id: js-menu-first-item]
2020-04-26 14:04:544 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-26 14:04:453 INFO  HomePage :31 - clicking on service button: [[ChromeDriver: chrome on WINDOWS (05f37a86483edb1c463f6789b556b247)] -> xpath: //span[@class='button__text'][contains(text(),'Services')]]
2020-04-26 14:04:479 INFO  ServicePage :24 - Get Adult Social Care Text[[ChromeDriver: chrome on WINDOWS (05f37a86483edb1c463f6789b556b247)] -> id: js-menu-first-item]
2020-04-26 14:04:226 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-26 14:04:506 INFO  HomePage :24 - clicking on login or register link Proxy element for: DefaultElementLocator 'By.xpath: //span[@class='icon-fallback']'
2020-04-26 14:04:549 INFO  LoginPage :33 - Get Welcome Guest text [[ChromeDriver: chrome on WINDOWS (a7b64b28d2556cdf0cd76d18f2ac1a72)] -> xpath: //li[@class='navbar-text myprofile_salutation']]
2020-04-26 14:04:213 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-26 14:04:248 INFO  HomePage :24 - clicking on login or register link Proxy element for: DefaultElementLocator 'By.xpath: //span[@class='icon-fallback']'
2020-04-26 14:04:395 INFO  LoginPage :40 - enter email[[ChromeDriver: chrome on WINDOWS (10790e89cc4fec331c8635ac407715ef)] -> id: username-input]
2020-04-26 14:04:485 INFO  LoginPage :46 - enter password[[ChromeDriver: chrome on WINDOWS (10790e89cc4fec331c8635ac407715ef)] -> id: password-input]
2020-04-26 14:04:842 INFO  LoginPage :52 -  Clicking on Login Button[[ChromeDriver: chrome on WINDOWS (10790e89cc4fec331c8635ac407715ef)] -> xpath: //input[@id='submitBtnSignIn']]
2020-04-26 14:04:872 INFO  LoginPage :57 - Get Error message text [[ChromeDriver: chrome on WINDOWS (10790e89cc4fec331c8635ac407715ef)] -> xpath: //span[@id='password.errors']]
2020-04-26 14:04:539 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-26 14:04:611 INFO  HomePage :31 - clicking on service button: [[ChromeDriver: chrome on WINDOWS (b4df72c99212b3f6eb32068e8d511a13)] -> xpath: //span[@class='button__text'][contains(text(),'Services')]]
2020-04-26 14:04:644 INFO  ServicePage :24 - Get Adult Social Care Text[[ChromeDriver: chrome on WINDOWS (b4df72c99212b3f6eb32068e8d511a13)] -> xpath: //a[@id='js-menu-first-item']]
2020-04-26 14:04:671 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-26 14:04:150 INFO  HomePage :31 - clicking on service button: [[ChromeDriver: chrome on WINDOWS (a5d5f0736ff5a6d7d1b5a3f7afb908c7)] -> xpath: //span[@class='button__text'][contains(text(),'Services')]]
2020-04-26 14:04:178 INFO  ServicePage :24 - Get Adult Social Care Text[[ChromeDriver: chrome on WINDOWS (a5d5f0736ff5a6d7d1b5a3f7afb908c7)] -> xpath: //a[@id='js-menu-first-item']]
2020-04-26 14:04:94 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-26 14:04:119 INFO  HomePage :24 - clicking on login or register link Proxy element for: DefaultElementLocator 'By.xpath: //span[@class='icon-fallback']'
2020-04-26 14:04:155 INFO  LoginPage :33 - Get Welcome Guest text [[ChromeDriver: chrome on WINDOWS (fb5f6eaf3db99a8c508be800549a080b)] -> xpath: //li[@class='navbar-text myprofile_salutation']]
2020-04-26 14:04:805 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-26 14:04:25 INFO  HomePage :24 - clicking on login or register link Proxy element for: DefaultElementLocator 'By.xpath: //span[@class='icon-fallback']'
2020-04-26 14:04:174 INFO  LoginPage :40 - enter email[[ChromeDriver: chrome on WINDOWS (52284789be072d19c8873664f4962dec)] -> id: username-input]
2020-04-26 14:04:308 INFO  LoginPage :46 - enter password[[ChromeDriver: chrome on WINDOWS (52284789be072d19c8873664f4962dec)] -> id: password-input]
2020-04-26 14:04:947 INFO  LoginPage :52 -  Clicking on Login Button[[ChromeDriver: chrome on WINDOWS (52284789be072d19c8873664f4962dec)] -> xpath: //input[@id='submitBtnSignIn']]
2020-04-26 14:04:994 INFO  LoginPage :57 - Get Error message text [[ChromeDriver: chrome on WINDOWS (52284789be072d19c8873664f4962dec)] -> xpath: //span[@id='password.errors']]
2020-04-26 14:04:661 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-26 14:04:819 INFO  HomePage :31 - clicking on service button: [[ChromeDriver: chrome on WINDOWS (5dfe60ead5065909037ac9b307713f69)] -> xpath: //span[@class='button__text'][contains(text(),'Services')]]
2020-04-26 14:04:531 INFO  ServicePage :25 - Get Adult Social Care Text[[ChromeDriver: chrome on WINDOWS (5dfe60ead5065909037ac9b307713f69)] -> xpath: //a[@id='js-menu-first-item']]
2020-04-26 14:04:167 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-26 14:04:819 INFO  HomePage :31 - clicking on service button: [[ChromeDriver: chrome on WINDOWS (325c97b677d79e676fdf43f789e07c68)] -> xpath: //span[@class='button__text'][contains(text(),'Services')]]
2020-04-26 14:04:421 INFO  ServicePage :25 - Get Adult Social Care Text[[ChromeDriver: chrome on WINDOWS (325c97b677d79e676fdf43f789e07c68)] -> xpath: //a[@id='js-menu-first-item']]
2020-04-26 14:04:528 INFO  ServicePage :32 -  Clicking on close link[[ChromeDriver: chrome on WINDOWS (325c97b677d79e676fdf43f789e07c68)] -> xpath: //span[@class='button__text'][contains(text(),'Close')]]
2020-04-26 14:04:205 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-26 14:04:178 INFO  HomePage :24 - clicking on login or register link Proxy element for: DefaultElementLocator 'By.xpath: //span[@class='icon-fallback']'
2020-04-26 14:04:200 INFO  LoginPage :33 - Get Welcome Guest text [[ChromeDriver: chrome on WINDOWS (de962452fc1684c513366335d3dd93b9)] -> xpath: //li[@class='navbar-text myprofile_salutation']]
2020-04-26 14:04:873 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-26 14:04:881 INFO  HomePage :24 - clicking on login or register link Proxy element for: DefaultElementLocator 'By.xpath: //span[@class='icon-fallback']'
2020-04-26 14:04:00 INFO  LoginPage :40 - enter email[[ChromeDriver: chrome on WINDOWS (428a9137326a576ac69c826bf7a453e5)] -> id: username-input]
2020-04-26 14:04:91 INFO  LoginPage :46 - enter password[[ChromeDriver: chrome on WINDOWS (428a9137326a576ac69c826bf7a453e5)] -> id: password-input]
2020-04-26 14:04:553 INFO  LoginPage :52 -  Clicking on Login Button[[ChromeDriver: chrome on WINDOWS (428a9137326a576ac69c826bf7a453e5)] -> xpath: //input[@id='submitBtnSignIn']]
2020-04-26 14:04:577 INFO  LoginPage :57 - Get Error message text [[ChromeDriver: chrome on WINDOWS (428a9137326a576ac69c826bf7a453e5)] -> xpath: //span[@id='password.errors']]
2020-04-26 14:04:246 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-26 14:04:560 INFO  HomePage :31 - clicking on service button: [[ChromeDriver: chrome on WINDOWS (e8dbf459c2a84c410f90db04e519653b)] -> xpath: //span[@class='button__text'][contains(text(),'Services')]]
2020-04-26 14:04:287 INFO  ServicePage :25 - Get Adult Social Care Text[[ChromeDriver: chrome on WINDOWS (e8dbf459c2a84c410f90db04e519653b)] -> xpath: //a[@id='js-menu-first-item']]
2020-04-26 14:04:11 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-26 14:04:914 INFO  HomePage :31 - clicking on service button: [[ChromeDriver: chrome on WINDOWS (59864828b5e88aa70987112d1788377a)] -> xpath: //span[@class='button__text'][contains(text(),'Services')]]
2020-04-26 14:04:524 INFO  ServicePage :25 - Get Adult Social Care Text[[ChromeDriver: chrome on WINDOWS (59864828b5e88aa70987112d1788377a)] -> xpath: //a[@id='js-menu-first-item']]
2020-04-26 14:04:688 INFO  ServicePage :33 -  Clicking on close link[[ChromeDriver: chrome on WINDOWS (59864828b5e88aa70987112d1788377a)] -> xpath: //span[@class='button__text'][contains(text(),'Close')]]
2020-04-26 14:04:717 INFO  HomePage :36 - Get text from services button[[ChromeDriver: chrome on WINDOWS (59864828b5e88aa70987112d1788377a)] -> xpath: //span[@class='button__text'][contains(text(),'Services')]]
2020-04-26 14:04:460 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-26 14:04:752 INFO  HomePage :31 - clicking on service button: [[ChromeDriver: chrome on WINDOWS (61275b1e3406ef414c90f13a0e4cfaad)] -> xpath: //span[@class='button__text'][contains(text(),'Services')]]
2020-04-26 14:04:441 INFO  ServicePage :25 - Get Adult Social Care Text[[ChromeDriver: chrome on WINDOWS (61275b1e3406ef414c90f13a0e4cfaad)] -> xpath: //a[@id='js-menu-first-item']]
2020-04-26 14:04:166 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-26 14:04:936 INFO  HomePage :31 - clicking on service button: [[ChromeDriver: chrome on WINDOWS (6121a734acbfde4aba15fa6aa477dbc2)] -> xpath: //span[@class='button__text'][contains(text(),'Services')]]
2020-04-26 14:04:553 INFO  ServicePage :25 - Get Adult Social Care Text[[ChromeDriver: chrome on WINDOWS (6121a734acbfde4aba15fa6aa477dbc2)] -> xpath: //a[@id='js-menu-first-item']]
2020-04-26 14:04:751 INFO  ServicePage :33 -  Clicking on close link[[ChromeDriver: chrome on WINDOWS (6121a734acbfde4aba15fa6aa477dbc2)] -> xpath: //span[@class='button__text'][contains(text(),'Close')]]
2020-04-26 14:04:783 INFO  HomePage :36 - Get text from services button[[ChromeDriver: chrome on WINDOWS (6121a734acbfde4aba15fa6aa477dbc2)] -> xpath: //span[@class='button__text'][contains(text(),'Services')]]
2020-04-26 14:04:545 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-26 14:04:903 INFO  HomePage :24 - clicking on login or register link Proxy element for: DefaultElementLocator 'By.xpath: //span[@class='icon-fallback']'
2020-04-26 14:04:926 INFO  LoginPage :33 - Get Welcome Guest text [[ChromeDriver: chrome on WINDOWS (07d55de275d70eeefb698153260564c2)] -> xpath: //li[@class='navbar-text myprofile_salutation']]
2020-04-26 14:04:602 INFO  BrowserSelector :19 - Launching Chrome Browser
2020-04-26 14:04:527 INFO  HomePage :24 - clicking on login or register link Proxy element for: DefaultElementLocator 'By.xpath: //span[@class='icon-fallback']'
